ID,ASSESSMENT_QUALITY_TYPE_ID,CONTENT_EN_US,CONTENT_ZH_CN,CONTENT_ZH_TW,CONTENT_ID_ID,CONTENT_JA_JP,CONTENT_MS_MY,CONTENT_TH_TH,CONTENT_VI_VN,CONTENT_KO_KR,QUESTION_TYPE,MIN_VALUE,MAX_VALUE,IS_REVERSED,CREATED_BY,CREATED_DATE,UPDATED_BY,UPDATED_DATE,IS_DELETED,QUALITY_TYPE,VALUE_RATE
1,6,"When someone else is feeling excited, I tend to get excited too.","When someone else is feeling excited, I tend to get excited too.","When someone else is feeling excited, I tend to get excited too.","When someone else is feeling excited, I tend to get excited too.","When someone else is feeling excited, I tend to get excited too.","When someone else is feeling excited, I tend to get excited too.","When someone else is feeling excited, I tend to get excited too.","When someone else is feeling excited, I tend to get excited too.","When someone else is feeling excited, I tend to get excited too.",1,0,4,0,NULL,13-NOV-18 05.45.08.282000000 PM,NULL,13-NOV-18 05.45.08.282000000 PM,0,6,1
2,6,Other people’s misfortunes do not disturb me a great deal.,Other people’s misfortunes do not disturb me a great deal.,Other people’s misfortunes do not disturb me a great deal.,Other people’s misfortunes do not disturb me a great deal.,Other people’s misfortunes do not disturb me a great deal.,Other people’s misfortunes do not disturb me a great deal.,Other people’s misfortunes do not disturb me a great deal.,Other people’s misfortunes do not disturb me a great deal.,Other people’s misfortunes do not disturb me a great deal.,1,0,4,1,NULL,13-NOV-18 05.45.08.282000000 PM,NULL,13-NOV-18 05.45.08.282000000 PM,0,6,1
3,6,It upsets me to see someone being treated disrespectfully.,It upsets me to see someone being treated disrespectfully.,It upsets me to see someone being treated disrespectfully.,It upsets me to see someone being treated disrespectfully.,It upsets me to see someone being treated disrespectfully.,It upsets me to see someone being treated disrespectfully.,It upsets me to see someone being treated disrespectfully.,It upsets me to see someone being treated disrespectfully.,It upsets me to see someone being treated disrespectfully.,1,0,4,0,NULL,13-NOV-18 05.45.08.282000000 PM,NULL,13-NOV-18 05.45.08.282000000 PM,0,6,1
4,6,I remain unaffected when someone close to me is happy,I remain unaffected when someone close to me is happy,I remain unaffected when someone close to me is happy,I remain unaffected when someone close to me is happy,I remain unaffected when someone close to me is happy,I remain unaffected when someone close to me is happy,I remain unaffected when someone close to me is happy,I remain unaffected when someone close to me is happy,I remain unaffected when someone close to me is happy,1,0,4,1,NULL,13-NOV-18 05.45.08.282000000 PM,NULL,13-NOV-18 05.45.08.282000000 PM,0,6,1
5,6,I enjoy making other people feel better,I enjoy making other people feel better,I enjoy making other people feel better,I enjoy making other people feel better,I enjoy making other people feel better,I enjoy making other people feel better,I enjoy making other people feel better,I enjoy making other people feel better,I enjoy making other people feel better,1,0,4,0,NULL,13-NOV-18 05.45.08.282000000 PM,NULL,13-NOV-18 05.45.08.282000000 PM,0,6,1
6,6,"I have tender, concerned feelings for people less fortunate than me","I have tender, concerned feelings for people less fortunate than me","I have tender, concerned feelings for people less fortunate than me","I have tender, concerned feelings for people less fortunate than me","I have tender, concerned feelings for people less fortunate than me","I have tender, concerned feelings for people less fortunate than me","I have tender, concerned feelings for people less fortunate than me","I have tender, concerned feelings for people less fortunate than me","I have tender, concerned feelings for people less fortunate than me",1,0,4,0,NULL,13-NOV-18 05.45.08.282000000 PM,NULL,13-NOV-18 05.45.08.282000000 PM,0,6,1
7,6,"When a friend starts to talk about his/her problems, I try to steer the conversation towards something else","When a friend starts to talk about his/her problems, I try to steer the conversation towards something else","When a friend starts to talk about his/her problems, I try to steer the conversation towards something else","When a friend starts to talk about his/her problems, I try to steer the conversation towards something else","When a friend starts to talk about his/her problems, I try to steer the conversation towards something else","When a friend starts to talk about his/her problems, I try to steer the conversation towards something else","When a friend starts to talk about his/her problems, I try to steer the conversation towards something else","When a friend starts to talk about his/her problems, I try to steer the conversation towards something else","When a friend starts to talk about his/her problems, I try to steer the conversation towards something else",1,0,4,1,NULL,13-NOV-18 05.45.08.282000000 PM,NULL,13-NOV-18 05.45.08.282000000 PM,0,6,1
8,6,I can tell when others are sad even when they do not say anything,I can tell when others are sad even when they do not say anything,I can tell when others are sad even when they do not say anything,I can tell when others are sad even when they do not say anything,I can tell when others are sad even when they do not say anything,I can tell when others are sad even when they do not say anything,I can tell when others are sad even when they do not say anything,I can tell when others are sad even when they do not say anything,I can tell when others are sad even when they do not say anything,1,0,4,0,NULL,13-NOV-18 05.45.08.282000000 PM,NULL,13-NOV-18 05.45.08.282000000 PM,0,6,1
9,6,"I find that I am ""in tune"" with other people's moods","I find that I am ""in tune"" with other people's moods","I find that I am ""in tune"" with other people's moods","I find that I am ""in tune"" with other people's moods","I find that I am ""in tune"" with other people's moods","I find that I am ""in tune"" with other people's moods","I find that I am ""in tune"" with other people's moods","I find that I am ""in tune"" with other people's moods","I find that I am ""in tune"" with other people's moods",1,0,4,0,NULL,13-NOV-18 05.45.08.282000000 PM,NULL,13-NOV-18 05.45.08.282000000 PM,0,6,1
10,6,I do not feel sympathy for people who cause their own serious illnesses,I do not feel sympathy for people who cause their own serious illnesses,I do not feel sympathy for people who cause their own serious illnesses,I do not feel sympathy for people who cause their own serious illnesses,I do not feel sympathy for people who cause their own serious illnesses,I do not feel sympathy for people who cause their own serious illnesses,I do not feel sympathy for people who cause their own serious illnesses,I do not feel sympathy for people who cause their own serious illnesses,I do not feel sympathy for people who cause their own serious illnesses,1,0,4,1,NULL,13-NOV-18 05.45.08.282000000 PM,NULL,13-NOV-18 05.45.08.282000000 PM,0,6,1
