"CURRENCY_ID","CODE","NAME","UNIT_PER_USD","USD_PER_UNIT","MIN_SALARY","MAX_SALARY","SYMBOL"
5,"USD","USD",1,1,1,100000,"$"
258,"VND","Vietnamese Dong",23208.50,0.000043,2000,2310000000,"₫"
1,"CNY","Chinese Yuan",7.162917,0.139608,10,668000,"¥"
2,"IDR","Indonesian Rupiah",14176.235841,0.000071,10,1438000000,"Rp"
3,"MYR","Malaysian Ringgit",4.207868,0.237650,4,405000,"RM"
4,"THB","Thai Baht",30.601430,0.032678,30,3325000,"฿"
6,"JPY","Japanese Yen",106.166112,0.009419,100,11230000,"¥"
7,"KRW","South Korean won",1208.151679,0.000828,1,112000000,"₩"
8,"EUR","Euro",0.910497,1.098302,1,100000,"€"
9,"COP","Colombian peso",3443.176939,0.000290,2000,287000000,"$"
10,"AED","United Arab Emirates dirham",3.672500,0.272294,3,367000,"د.إ"
11,"SGD","Singapore Dollar",1.388711,0.720092,1,100000,"S$"
