"JOB_ID","JOB_NAME","JOB_DESCRIPTION","CREATED_DATE","UPDATED_DATE","IS_DELETED"
1,"Front Desk Associate","Front Desk Associate","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
2,"Front Desk Supervisor","Front Desk Supervisor","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
3,"Front Office Attendant","Front Office Attendant","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
4,"Front-of-House Manager","Front-of-House Manager","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
5,"Guest Relations Manager","Guest Relations Manager","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
6,"Guest Services Associate","Guest Services Associate","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
7,"Guest Services Supervisor","Guest Services Supervisor","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
8,"Hotel Clerk","Hotel Clerk","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
9,"Hotel Receptionist","Hotel Receptionist","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
10,"Reservationist","Reservationist","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
11,"Reservations Agent","Reservations Agent","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
12,"Events Manager","Events Manager","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
13,"Executive Conference Manager","Executive Conference Manager","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
14,"Executive Meeting Manager","Executive Meeting Manager","05-JUL-18 12.47.08.090000000 PM","05-JUL-18 12.47.08.090000000 PM",0
