"LANGUAGE_ID","NAME","CODE","IS_DELETED"
1,"English","en",0
2,"Afar","aa",1
3,"Abkhazian","ab",1
4,"Afrikaans","af",1
5,"Amharic","am",1
6,"Arabic","ar",0
7,"Assamese","as",1
8,"Aymara","ay",1
9,"Azerbaijani","az",1
10,"Bashkir","ba",1
11,"Belarusian","be",1
12,"Bulgarian","bg",1
13,"Bihari","bh",1
14,"Bislama","bi",1
15,"Bengali/Bangla","bn",1
16,"Tibetan","bo",1
17,"Breton","br",1
18,"Catalan","ca",1
19,"Corsican","co",1
20,"Czech","cs",1
21,"Welsh","cy",1
22,"Danish","da",1
23,"German","de",1
24,"Bhutani","dz",1
25,"Greek","el",1
26,"Esperanto","eo",1
27,"Spanish","es",0
28,"Estonian","et",1
29,"Basque","eu",1
30,"Persian","fa",1
31,"Finnish","fi",1
32,"Fiji","fj",1
33,"Faeroese","fo",1
34,"French","fr",1
35,"Frisian","fy",1
36,"Irish","ga",1
37,"Scots/Gaelic","gd",1
38,"Galician","gl",1
39,"Guarani","gn",1
40,"Gujarati","gu",1
41,"Hausa","ha",1
42,"Hindi","hi",0
43,"Croatian","hr",1
44,"Hungarian","hu",1
45,"Armenian","hy",1
46,"Interlingua","ia",1
47,"Interlingue","ie",1
48,"Inupiak","ik",1
49,"Indonesian","in",1
50,"Icelandic","is",1
51,"Italian","it",1
52,"Hebrew","iw",1
53,"Japanese","ja",0
54,"Yiddish","ji",1
55,"Javanese","jw",1
56,"Georgian","ka",1
57,"Kazakh","kk",1
58,"Greenlandic","kl",1
59,"Cambodian","km",1
60,"Kannada","kn",1
61,"Korean","ko",1
62,"Kashmiri","ks",1
63,"Kurdish","ku",1
64,"Kirghiz","ky",1
65,"Latin","la",1
66,"Lingala","ln",1
67,"Laothian","lo",1
68,"Lithuanian","lt",1
69,"Latvian/Lettish","lv",1
70,"Malagasy","mg",1
71,"Maori","mi",1
72,"Macedonian","mk",1
73,"Malayalam","ml",1
74,"Mongolian","mn",1
75,"Moldavian","mo",1
76,"Marathi","mr",1
77,"Malay","ms",1
78,"Maltese","mt",1
79,"Burmese","my",1
80,"Nauru","na",1
81,"Nepali","ne",1
82,"Dutch","nl",1
83,"Norwegian","no",1
84,"Occitan","oc",1
85,"(Afan)/Oromoor/Oriya","om",1
86,"Punjabi/Lahnda","pa",0
87,"Polish","pl",1
88,"Pashto/Pushto","ps",1
89,"Portuguese","pt",0
90,"Quechua","qu",1
91,"Rhaeto-Romance","rm",1
92,"Kirundi","rn",1
93,"Romanian","ro",1
94,"Russian","ru",0
95,"Kinyarwanda","rw",1
96,"Sanskrit","sa",1
97,"Sindhi","sd",1
98,"Sangro","sg",1
99,"Serbo-Croatian","sh",1
100,"Singhalese","si",1
101,"Slovak","sk",1
102,"Slovenian","sl",1
103,"Samoan","sm",1
104,"Shona","sn",1
105,"Somali","so",1
106,"Albanian","sq",1
107,"Serbian","sr",1
108,"Siswati","ss",1
109,"Sesotho","st",1
110,"Sundanese","su",1
111,"Swedish","sv",1
112,"Swahili","sw",1
113,"Tamil","ta",1
114,"Telugu","te",1
115,"Tajik","tg",1
116,"Thai","th",0
117,"Tigrinya","ti",1
118,"Turkmen","tk",1
119,"Tagalog","tl",1
120,"Setswana","tn",1
121,"Tonga","to",1
122,"Turkish","tr",1
123,"Tsonga","ts",1
124,"Tatar","tt",1
125,"Twi","tw",1
126,"Ukrainian","uk",1
127,"Urdu","ur",1
128,"Uzbek","uz",1
129,"Vietnamese","vi",0
130,"Volapuk","vo",1
131,"Wolof","wo",1
132,"Xhosa","xh",1
133,"Yoruba","yo",1
134,"Chinese","zh",0
135,"Zulu","zu",1
136,"Bengali","bn",0
